Localidad:ENGATIVA,Votacion:
P_Liberal,15518
P_Conservador,11049
P_Opcion_Ciudadana,2917
P_Cambio_Radical,22137
P_Alianza_Verde,70263
P_MIRA,16622
P_de_la_U,11809
Polo,18161
P_Centro_Democratico,46441
P_SOMOS,3397
FARC,985
Colombia_Justa_Libres,13745
SI_SE_PUEDE,259
Union_con_Fortaleza,332
Todos_somos_Colombia,1085
Coalicion_Decencia,24448
Voto_Blanco_Nacional,26222
AICO,115
ASI,328
MAIS,752
SOBERANIA,27
MIA,105
RenovacionEtnica,139
CASIYOUREN,34
Voto_Blanco_Indigena,9406
Nulos,17137
No_Marcados,5056
Potencial Votantes,551261
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_010_XX_XX_X_8122_F_49.pdf