Localidad:SUBA,Votacion:
P_Liberal,17335
P_Conservador,13983
P_Opcion_Ciudadana,3429
P_Cambio_Radical,23762
P_Alianza_Verde,96088
P_MIRA,14607
P_de_la_U,12206
Polo,19196
P_Centro_Democratico,81685
P_SOMOS,3562
FARC,1000
Colombia_Justa_Libres,14878
SI_SE_PUEDE,231
Union_con_Fortaleza,432
Todos_somos_Colombia,1066
Coalicion_Decencia,23298
Voto_Blanco_Nacional,25767
AICO,165
ASI,364
MAIS,919
SOBERANIA,47
MIA,79
RenovacionEtnica,150
CASIYOUREN,58
Voto_Blanco_Indigena,8969
Nulos,17112
No_Marcados,5723
Potencial Votantes,667031
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_011_XX_XX_X_8123_F_49.pdf