Localidad:TUNJUELITO,Votacion:
P_Liberal,3914
P_Conservador,2499
P_Opcion_Ciudadana,840
P_Cambio_Radical,6457
P_Alianza_Verde,10587
P_MIRA,3213
P_de_la_U,3872
Polo,4460
P_Centro_Democratico,9945
P_SOMOS,587
FARC,290
Colombia_Justa_Libres,3386
SI_SE_PUEDE,57
Union_con_Fortaleza,116
Todos_somos_Colombia,309
Coalicion_Decencia,8213
Voto_Blanco_Nacional,5991
AICO,26
ASI,51
MAIS,323
SOBERANIA,16
MIA,28
RenovacionEtnica,20
CASIYOUREN,8
Voto_Blanco_Indigena,2375
Nulos,4771
No_Marcados,1762
Potencial Votantes,152592
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_006_XX_XX_X_8118_F_49.pdf